Fr,Nm,NN,ACTUAL
0.27625057101249695,0.7237494587898254,1,1
0.6755124926567078,0.32448750734329224,0,1
0.282251238822937,0.717748761177063,1,1
0.5719643235206604,0.42803576588630676,0,1
0.3515254855155945,0.6484745144844055,1,1
0.3096922039985657,0.6903077960014343,1,1
0.6616621017456055,0.33833780884742737,0,1
0.32850217819213867,0.6714978814125061,1,1
0.2793077528476715,0.7206922173500061,1,1
0.27770522236824036,0.7222946882247925,1,1
0.4338327944278717,0.5661672353744507,1,1
0.28335437178611755,0.7166456580162048,1,1
0.2794587016105652,0.7205412983894348,1,1
0.282717764377594,0.717282235622406,1,1
0.6880244016647339,0.3119756281375885,0,1
0.2847355008125305,0.7152644395828247,1,1
0.2858579158782959,0.7141420245170593,1,1
0.2783544361591339,0.7216455936431885,1,1
0.2784273624420166,0.7215726375579834,1,1
0.28153663873672485,0.7184633612632751,1,1
0.3532137870788574,0.6467862129211426,1,1
0.35490065813064575,0.645099401473999,1,1
0.29294028878211975,0.7070596814155579,1,1
0.28786587715148926,0.7121341228485107,1,1
0.27834653854370117,0.7216534614562988,1,1
0.4288274943828583,0.5711724758148193,1,1
0.29323452711105347,0.7067654728889465,1,1
0.33875831961631775,0.6612417101860046,1,1
0.28826797008514404,0.7117320895195007,1,1
0.4540698528289795,0.5459300875663757,1,1
0.7208086848258972,0.2791913151741028,0,1
0.28155651688575745,0.7184435129165649,1,1
0.27840524911880493,0.7215948104858398,1,1
0.2970452308654785,0.7029547691345215,1,1
0.2794419229030609,0.7205580472946167,1,1
0.2797025144100189,0.7202975153923035,1,1
0.2775488495826721,0.7224510908126831,1,1
0.2812839150428772,0.7187160849571228,1,1
0.42160123586654663,0.5783987641334534,1,1
0.2815897762775421,0.7184101939201355,1,1
0.2759178876876831,0.7240821123123169,1,1
0.6086295247077942,0.3913704454898834,0,1
0.4303875267505646,0.5696125030517578,1,1
0.2938602864742279,0.7061397433280945,1,1
0.2768237292766571,0.7231762409210205,1,1
0.2890067398548126,0.7109932899475098,1,1
0.28001028299331665,0.7199897170066833,1,1
0.3188774585723877,0.6811225414276123,1,1
0.27798810601234436,0.7220118641853333,1,1
0.27951911091804504,0.7204809188842773,1,1
0.2780846655368805,0.7219153642654419,1,1
0.28007620573043823,0.7199237942695618,1,1
0.29417282342910767,0.7058271765708923,1,1
0.2751880884170532,0.7248119115829468,1,1
0.5483675003051758,0.4516325294971466,0,1
0.4216731786727905,0.5783268809318542,1,1
0.27787137031555176,0.7221285700798035,1,1
0.28019192814826965,0.7198081016540527,1,1
0.286888062953949,0.713111937046051,1,1
0.4561631977558136,0.543836772441864,1,1
0.2789340913295746,0.721065878868103,1,1
0.28137844800949097,0.718621551990509,1,1
0.2774096429347992,0.7225903868675232,1,1
0.278964102268219,0.721035897731781,1,1
0.2753746807575226,0.724625289440155,1,1
0.5976369380950928,0.40236303210258484,0,1
0.2779860496520996,0.7220139503479004,1,1
0.28005465865135193,0.7199452519416809,1,1
0.2814861238002777,0.7185139060020447,1,1
0.2951692044734955,0.7048308253288269,1,1
0.31869378685951233,0.6813062429428101,1,1
0.2773480713367462,0.7226519584655762,1,1
0.3131392300128937,0.6868607997894287,1,1
0.28653162717819214,0.7134683132171631,1,1
0.27924850583076477,0.7207514643669128,1,1
0.2867981791496277,0.7132018208503723,1,1
0.30314481258392334,0.6968552470207214,1,1
0.2886732220649719,0.7113267183303833,1,1
0.308758020401001,0.6912419199943542,1,1
0.3152858316898346,0.684714138507843,1,1
0.32765769958496094,0.6723423004150391,1,1
0.2768664062023163,0.7231335639953613,1,1
0.2889542877674103,0.7110456824302673,1,1
0.27621257305145264,0.7237874269485474,1,1
0.2926335632801056,0.707366406917572,1,1
0.32303598523139954,0.6769640445709229,1,1
0.44948911666870117,0.5505108833312988,1,1
0.2802255153656006,0.7197745442390442,1,1
